"ip","mask","site","vdom","fw_manager","fw_analyzer","fw_ip","fw_name","class","type","interface_name","vlanid","description"
"172.16.253.1",29,"gare","mobile-ipx","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mgrx-int","2601"," mgrx-int"
"172.16.253.9",29,"gare","mobile-ipx","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mgrx-ext","2602"," mgrx-ext"
"192.168.101.125",28,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-wap-int","3349",""
"172.16.253.41",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-bberry","2607",""
"172.16.253.49",29,"gare","mobile-ipx","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mgrx-s6a-int","2606"," mgrx-s6a-int"
"172.16.253.25",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-sigtran","2608"," mweb-sigtran"
"192.168.100.190",28,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-ntp-int","3385",""
"172.27.3.158",27,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-x-int","3050","mli-x-int"
"172.27.3.225",27,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-hi-int","3038","mli-hi-int"
"192.168.195.103",24,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-broad-soft","3470","eco-drive-test"
"192.168.225.254",24,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-lemf-int","2609","ELAN 1273100053"
"180.143.17.254",24,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-msc-int","2610","ELAN 1273100278"
"172.16.253.17",29,"gare","mobile-ipx","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mgrx-s6a-ext","2603","s6- traffic-external-partners"
"172.27.38.1",26,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-alumdmt","3093","mweb-alumdmt"
"172.27.38.65",26,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-alumdm","3094","mweb-alumdm"
"172.27.38.129",26,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-alumdmdb","3095","mweb-alumdmdb"
"172.30.2.174",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-dt-int","3115","mweb-dt-int"
"172.16.253.89",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-apnwap-int","2612","mweb-apnwap-int"
"172.16.253.97",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-apnmms-int","2613","mweb-apnmms-int"
"192.168.108.1",24,"gare","mobile-li","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mli-mx-int","2615"," mli-mx-int-Elan-1283104880"
"172.16.253.121",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-afginet","2620","mweb-afginet"
"172.16.253.137",29,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","dns-mobilefe","3118","dns-mobilefe"
"172.27.45.33",28,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","eco-drive-test","3202","eco-drive-test"
"172.27.45.1",28,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","eco-drive-prod","3203","eco-drive-prod"
"172.27.52.65",27,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-cmamms","3654","ZTE_CMA_PROD_MMS_Service"
"172.27.52.129",27,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-cmawap","3655","ZTE_CMA_PROD_WAP_Service"
"172.27.55.129",27,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-cmatwap","3675","ZTE_CMA_TEST_WAP_Service"
"172.27.55.65",27,"gare","mobile-web","None","192.168.10.133","192.168.10.172","FGT-Mobile-Gare","fortinet","interface","mweb-cmatmms","3674","ZTE_CMA_TEST_MMS_Service"
